Georgia,3987805,69490
Eritrea,3554797,101000
Uruguay,3475842,175020
Bosnia and Herzegovina,3277152,51000
Mongolia,3287242,1553560
Armenia,2964219,28470
Jamaica,2963429,10830
Qatar,2889284,11610
Albania,2877239,27400
Puerto Rico,2846860,8870
Lithuania,2715340,62674
Namibia,2548663,823290
Gambia,2427782,10120
Botswana,2359585,566730
Gabon,2234448,257670
Lesotho,2145194,30360
North Macedonia,2083359,25220
Slovenia,2078989,20140
Guinea-Bissau,1975718,28120
Latvia,1882408,62200
Bahrain,1711057,760
Equatorial Guinea,1410419,28050
Trinidad and Tobago,1400283,5130
Estonia,1326693,42390
Timor-Leste,1322667,14870
Mauritius,1272140,2030
Cyprus,1208886,9240
Eswatini,1162233,17200
Djibouti,990447,23180
Fiji,897573,18270
Réunion,896422,2500
Comoros,872695,1861
Guyana,787215,196850
Bhutan,773069,38117
Solomon Islands,689671,27990
Macao,650846,30
Montenegro,628080,13450
Luxembourg,627704,2590
Western Sahara,599769,266000
Suriname,587541,156000
Cabo Verde,557026,4030
Maldives,542151,300
Malta,441750,320
Brunei,438202,5270
Guadeloupe,400136,1690
Belize,398845,22810
Bahamas,393893,10010
Martinique,375213,1060
Iceland,341628,100250
Vanuatu,308337,12190
French Guiana,299958,82200
Barbados,287437,430
New Caledonia,285972,18280
French Polynesia,281191,3660
Mayotte,273905,375
Sao Tome & Principe,219844,960
Samoa,198643,2830
Saint Lucia,183774,610
Channel Islands,174140,190
Guam,169031,540
Curaçao,164211,444
Kiribati,119760,810
Micronesia,115231,700
Grenada,112614,340
St. Vincent & Grenadines,111002,390
Aruba,106845,180
Tonga,105901,720
U.S. Virgin Islands,104398,350
Seychelles,98453,460
Antigua and Barbuda,98069,440
Isle of Man,85112,570
Andorra,77287,470
Dominica,72017,750
Cayman Islands,65854,240
Bermuda,62237,50
Marshall Islands,59259,180
Northern Mariana Islands,57619,460
Greenland,56787,410450
American Samoa,55169,200
Saint Kitts & Nevis,53264,260
Faeroe Islands,48896,1396
Sint Maarten,42960,34
Monaco,39290,1
Turks and Caicos,38806,950
Saint Martin,38778,53
Liechtenstein,38147,160
San Marino,33944,60
Gibraltar,33689,10
British Virgin Islands,30266,150
Caribbean Netherlands,26265,328
Palau,18109,460
Cook Islands,17567,240
Anguilla,15026,90
Tuvalu,11817,30
Wallis & Futuna,11203,140
Nauru,10836,20
Saint Barthelemy,9882,21
Saint Helena,6080,390
Saint Pierre & Miquelon,5789,230
Montserrat,4993,100
Falkland Islands,3497,12170
Niue,1628,260
Tokelau,1360,10
Holy See,801,0
